App Name,description_short,extracted_short_desc
com.foodtec.marcos,The official mobile app for Marco's Pizza is now here!," Order, track & save with Marco's Pizza!\nSummary: The Marco’s app offers easy ordering, quick access to store locations, tracking of loyalty points, and access to exclusive deals and offers."""
com.gamooz.oxfordareal,Oxford Areal is an augmented reality app for learning.," Explore interactive books with Oxford Areal\n\nSummary: Oxford Areal is an augmented reality app that uses visual search to bring books to life with animations, videos, audio, and interactive activities. The cloud-based app scans full pages and offers unlimited recognition capabilities, all accessible on your own device."
com.tikoyapps.gameofthegeneraltikoy,"Scheme, bluff, and deceive your way to victory with The Generals board game!"," Play face-to-face with friends in The Generals board game! Host or join a game, arrange pieces, and deceive opponents. Stable internet required.\n\nConfidence: 95%"
com.jayanthsrinivasan.signlangapp,An app for learning the basics of sign language," Learn American, British, and Indian Sign Language with interactive games and quizzes in this user-friendly app."
com.blfour.facecamrecorder,Quick Screen Recorder provides to record videos of your mobile screen., Record & share HD screen activity with facecam using Quick Screen Recorder!
za.co.homii.mobile,Looking for that perfect Urban living space? Look no further than HOMii!," Discover urban living with HOMii - trendy spaces, easy booking, and community lifestyle."
au.com.rideon.android,Purchase discounted ride tickets for Kiddie Rides and get cool rewards," Save on Kiddie Ride tickets\n\nSummary: The Let's Ride app lets users pre-purchase discounted ticket bundles for Kiddie Rides, saving both money and time at shopping centers."""
lessons.interesting.facts,All Facts around the world – find every interesting fact, Discover intriguing facts in 9 categories with the Interesting Facts app.
com.forfendsecurity.smartlock,"We, Forfend Security are eager to make your life safer, easier and smarter.","\nEnhance safety & convenience w/ remote control & alarm systems from Forfend Security, compatible w/ Amazon Alexa & Google Kit."
app.saferentals,The application that allows you to rent any type of vehicle with a driver," Rent cars, bikes, or helicopters with Safe Rentals - Your one-stop app for diverse vehicle rentals!"
com.telldus.flow,Automate your home with Telldus TellStick," Control your Smartline Flow devices locally, no hub needed\n\nSummary: The new Telldus Flow app simplifies login with one-time passwords and allows local control of Smartline Flow devices without a hub. It also supports remote control of both Smartline Flow and existing 433/Z-wave devices, and includes easy-to-use automation cards and monitor setup for gateways. A TellStick Flow is required for Smartline Flow device control. Existing Smartline Flow app users can migrate using the Migration function in the app. Note"
com.toucangames.grand.city.battle.auto.theft,Build Criminal Empire with Auto Gangster in Grand City Games,"\nImmerse in the gangster life in this open-world game, completing missions, building your empire, and engaging in street fights."
com.enablon.inspection,Enablon Inspection solution is designed to securely create and answer checklists," Enablon Inspection\n\nSummary: Enablon Inspection is a secure app that guides users through checklists and automatically switches to offline mode. It allows users to easily perform inspections, create observations, and access data on-the-go, with a focus on sustainability, EH&S, and operational risk management."
com.agrobazaar.app,Enjoy fast and easy shopping of Malaysia’s fresh produce and Agro-based products," Discover and shop Malaysian agro-based products and services on AgroBazaar, an e-commerce platform by the Ministry of"
com.handy.handy.prod,Handy is the easiest way to book trusted home cleaners and handymen.," Book trusted home cleaners & handymen in 20+ cities with Handy - next-day availability, money-back guarantee, 24/7 customer service."
com.ily.insect.evolution,be careful of insects larger than you and stronger creatures.," Help a lost ant grow and find its family in this casual mobile game, eating smaller insects while avoiding larger ones.\n\nLong Description: Insect Evolution is a casual mobile game where you play as a little ant lost in the desert. Your journey home is far away, and you'll need to pass all the levels to find your family. On the road, you must eat insects smaller than you to grow up, but be careful not to be eaten yourself by insects larger and stronger than you."""
com.specialistapps.waimangu,Enhancing your experience through augmented reality at Waimangu Volcanic Valley," Explore Waimangu Volcanic Valley\'s history with AR, plan your trip, and share your journey through photos and notes.\n\nLong Description: This app offers an immersive experience of Waimangu Volcanic Valley, connecting visitors with its rich cultural and geological history through augmented reality. Users can rediscover the Pink and White Terraces and bring the Waimangu Geyser back to life. The app also includes practical features such as a valley map, points of interest, bus and boat schedules, and a ""My Journey"" feature for taking and saving photos,"
com.cisco.it.estore.android.setup,Provides secure access to mobile apps and services for Cisco employees., Securely access Cisco mobile apps and services with the Cisco eStore Mobile Setup app.
com.getpetly.app,"Search over 300,000 animals at nearly 14,000 shelters across the country."," Find your new best friend!\n\nSummary: Petly is an app that lets you search over 300,000 animals from nearly 14,000 shelters across the US. Connect with your partner to match on pets you both like and call or email shelters directly from the app. A percentage of earnings is donated to local shelters."
io.iota.twitteranalytics,A simple mobile application for twitter analysis.," Analyze Twitter accounts, tweets, and activity with hashtag analysis and bot detection. No login required."
com.callumsmith.whatword,The most fun word game!," Guess the 5-letter word in this fun, addictive game!"
com.maxone.osb,We are ONE Softball," Play softball with your team on ONE Softball app\n\nSummary: The ONE Softball app allows you to join your team and play softball. However, your coach must have a ONE Softball account, which can be created at www.onesoftball.com."
com.technob.movienews,Movie Diary is a Simple Application for get Details of Movies.," Movie Diary offers quick opinions, ratings, reviews, trailers, and notifications for movies from IMDb and TheMovieDB. Discover trending movies, check in to what you're watching, and enjoy a sleek, material design."""
com.goldathletics.dgcapp,Access your local Gold Card discounts PLUS thousands more offers!," Get deals on the go!\n\nSummary: GoldDeals+ offers digital access to local and national discounts for Gold Card holders, plus thousands more deals for free."
com.taralwallet,"Tarality, you can manage Bitcoin, Ethereum, BNB token right on your mobile phone"," Manage Bitcoin, Ethereum, and BNB on-the-go with Tarality Wallet\n\nSummary: Tarality Wallet allows users to manage Bitcoin, Ethereum, and BNB token on their mobile phones. The app features instant transfers among users, QR code payment system, real-time fiat value display, and biometric authentication for login and transactions."
com.wappusagetrackerCW,Whats Tracker is best app for online last seen duration for Parental Monitoring.," Track and control family members' online time on messaging apps with instant notifications and activity comparison."""
me.dispatch.manager.store,Dispatch Manager is the dispatcher/manager application on the Dispatch platform.," Schedule and assign work to your team with Dispatch Manager.\n\nLong Description: Dispatch Manager is a powerful tool for business owners to manage their workforce. Schedule and assign work available in Dispatch's other applications with ease, ensuring your team stays productive and efficient."""
com.shimano.etubeprojectmobile.droid.phone,Customize DI2 electric shifting in addition to the E-BIKE assist power program., Customize electric shifting & e-bike assist for optimal trail rides with this smartphone app. Auto-shift to your favorite gear at stops.
game.libra.dragon,LibraDragon is an innovative blockchain game.," LibraDragon is a blockchain-based game experiment, combining traditional mobile game resources with advanced blockchain technology. It introduces the ""Consensus Game"" concept and a new ""Proof of Playing"" mechanism for fair rewards."
com.strip_code,Find a list of clubs that nearby you.," Find Local Clubs Near You\n\nSummary: This app helps you quickly locate nearby clubs by name or distance, making it easy to find the perfect spot for a night out."
com.link.autolink,Autolink is an specially APP for the combination of vehicle and mobile phones.," Safe driving with phone functions mirrored on your car screen."""
com.appmarket.mycodes,Best communication app available for android users.," Connect with new friends on Bumble! Share feelings, chat instantly, and send gifts. See who's nearby and view profile visitors."""
com.vigadgets.raftsurvguide,The Best Guide For Raft Survival Game,
com.hellopal.androidlive,"Watch live streams, chat in real-time, and make new friends anytime.","\nExplore live performances & interact with streamers on Rivo. Share moments, chat, & gift!"
com.hk.poems.poemsMobileFX,"Smart trading around the world. Share trading anytime, anywhere!", Trade smarter with real-time market access and easy order management.
com.lycamobile.sw,Download the Lyca Mobile app today and take control of your account on-the-go.," Easily manage your Lyca Mobile account with bundle purchases, top-ups, secure payments, and more on their free app."
com.arthur.tenant,Manage your tenancy from the palm of your hand!," Manage your tenancy with ease using the Arthur app. View payments, raise issues, access docs, and more.\n\nLong Description: The Arthur app allows tenants to manage their tenancy with ease. View all your tenancy information, including when payments are due, raise issues and track their progress, view all documentation relating to your tenancy, make a request to extend or end your tenancy, edit your details and update your information, and view your property manager’s information. Arthur is an award-winning property management software designed to save property managers time and money by streamlining each stage of"
com.dwabtech.vexvia,"Use VEX via to follow the results of VIQC, VRC, and VEX U events"," Stay updated on VEX Robotics Competitions\n\nSummary: VEX via provides easy access to team lists, match schedules, results, and rankings for VEX Robotics Competition, VEX U, and VEX IQ Challenge events. Receive instant score alerts for your favorite teams."
ba.bsmart.inngenso,Monitor and control your heating system with our mobile app.," Control your heating system for a comfortable, energy-efficient home."
com.infotjenester.hressurs,Our complete suite of HRM software will let you manage and evolve your employees," Simployer: Comprehensive HR solution with decision support, education, and software tools."
com.olivendove.remobell,Monitor every activity happening at your door & talk to visitors from anywhere.,
com.generalcomp.qianding,Remote view for 24 hours in Mobile APP.," QIAN DING offers real-time mobile app views with QR scan, PTZ control, and video capture."
com.psynet,"Tag, location, blog, SNS applications in a variety of friends",
app.meep.cyprus.pame,"Plan your journey, get real time info on the bus and more", Plan & track bus journeys with real-time info on Cyprus Public Transport.
com.app.themorningcontext,"TMC: Only read stories that matter, on the internet, business and chaos.","\nStay informed with in-depth stories on startups, tech, fintech, and more from The Morning Context app. Access latest stories, newsletters, and archives, create a reading list, and follow subjects"
com.wsa.squadi,"Register to play sport, view game schedules and real-time live scores."," Stay updated with real-time sports game scores, schedules, and chats with this app integrated with The Squad Match Day platform."
com.shuffleboardscore,This app helps keep score at a game of Shuffleboard," Keep score in shuffleboard games\n\nLong Description: This app helps you keep score in shuffleboard games. Click on a player name to edit, or long click on a score to change it. Scoring is based on areas marked on the court, with 10 points deducted for disks in the 10-off area. The game is won by the first person to reach 75 points."
com.getflamingo.TheAsherFremont,Our app has everything you need in the palm of your hands.," Simplify building tasks with our all-in-one app: RSVP events, pay rent, request maintenance, book amenities."
com.pdssoftware.oasistimekiosk,The Paychex Oasis® Time Kiosk enables clients to turn an iPad® into a time clock," Turn your iPad into a time clock with the Paychex Oasis Time Kiosk app, enabling employee time tracking, self-service options, and more."
com.mobiledoorman.thedonaldsongroup,Live at The Donaldson Group? Download the app now!,
com.kn128.ipon,This application helps you to manage your money and challenge you to save.," Ipon: The Money Challenge helps you save money by adopting savings challenges. Set your goal, select your currency, and shade to track your progress. Inspired by PESO SENSE and PESO SENSE SAVERS GROUP."
com.solum.android.keycofinder,"KEYCO Finder - Item Finder, My Values Keeper KEYCO Card and KEYCO MINI"," Keep track of your belongings with KEYCO Finder. This app offers out-of-range alarms, location checks, phone finder, and selfie shutter features, with two finder types available.\n\nLong Description: KEYCO Finder is a versatile app that helps you keep your valuables secure. It offers functionalities such as Out of Range Alarm, Location Check, Phone Finder, Into Range Alarm, and Selfie Shutter. The app is compatible with two types of finders: KEYCO Card, a card-type finder, and KEYCO Mini,"
com.innovatise.edinburghleisure,With the Edinburgh Leisure app you always have your local centres in your pocket," Stay active with Edinburgh Leisure - book fitness classes, view timetables, get offers & more!"
karjatonline.paintboard,"A very simple paint board. Draw, scribble and have fun !",\nCreate and save vibrant drawings with this simple drawing board app.
com.sneezingmomi.singingmomi,Do you want to SLEEP forever at playtime? Meet Catnap smiling critters chapter 3," Enter a terrifying dream world and avoid jumpscares in Catnap Smiling Critters Chapter 3, a horror game with a unique sleep mechanic."
com.panandroid.smsverificationcode,The access app provides some toll free phone numbers.," Get free phone numbers for app & website registration\n\nSummary: This app provides free phone numbers for users to register accounts on various websites and apps around the world. It's important to note that these numbers should not be used for sensitive operations, such as government, banking, or payment services, and should not be used for illegal purposes."""
com.mnsuser,Naandi - Marathi Natya Sangeet," Discover Marathi Natya Sangeet on the go\n\nSummary: This app allows users to browse and listen to Marathi Natya Sangeet from a rich catalog of singers and nataks, or play in radio mode."
com.kinzoo.studio,Create characters and stories—and easily turn them into videos you can share.,"\nCreate custom characters and stories, then turn them into shareable videos with Kinzoo Studio."
my.book.ua.AOUVWFTDGVVAFTVLTA,Learn to read faster and smarter with our speed reading app," Read Faster, Comprehend More\n\nSummary: Our Android app offers a comprehensive speed reading program with customizable settings and a curated selection of short books to help you improve your reading speed and comprehension for school, work, or personal growth."
com.GentleGame.SpiralRider,Create huge spirals !!!, Collect coins and destroy obstacles with huge spirals!\n\nSummary: Create spirals by removing bark from trunks in this satisfying and engaging game.
com.viatom.vihealth,ViHealth App works with your Viatom devices.," Monitor health data with ViHealth\n\nSummary: The ViHealth app connects to Viatom devices via Bluetooth to display, store, and retrieve history data. Note: Data is not intended for medical purposes."
com.epicor.POD,A paperless confirmation of delivery including images and signature capture.," Epicor Proof of Delivery 2.0 enables drivers to confirm deliveries, capture signatures, and integrate seamlessly with Epicor ERP. Real-time, paperless environment.\n\nNote: I am a large language model and do not have personal experiences or opinions. The summary is based on the information provided in the app description and my understanding of app store listings."
com.beka.tools.mp4cutter,Choose the best moment of your video and save it with MP4 Cutter," Save the best part of your videos with MP4 Cutter!\n\nSummary: MP4 Cutter is a video editing app that allows users to select and save the best moments of their videos as MP4 files, freeing up storage space and removing unwanted footage. From the creators of MP3 Cutter."
com.tvremotecontrol.free.remote2,Change tv channels in tv decoder with your phone!, Control TV decoders with your phone!\n\nSummary: This app allows you to control various TV decoders remotely using your phone. It supports almost every decoder on the market and enables you to change channels and perform other functions with ease.
dk.zebon.zexpense,Quick and effective management of travel expenses," Manage travel expenses with ease\n\nLong Description: Quickly and effectively manage your travel expenses with zExpense. Take pictures of receipts, automatically transfer them to your account, and match them with credit card transactions or cash outlays."
com.autismdate.com.app,Dating app for everyone with autism (ASD)!," Connect with others on the autism spectrum for love, friendship, or casual chats with Autism Date's smart features and virtual environment."""
com.fleetcomplete.mobile,Manage your fleet On-The-Go with Fleet Complete Mobile Tracking Application," Manage your fleet on-the-go with Fleet Complete Mobile's new design, real-time status info, and multi-language support."""
com.rtsports.rtsportsapp,"Manage RealTime Fantasy Sports football leagues, set lineups, see scores, more!"," Manage fantasy teams w/ live scoring, drafts, trades, more!"
com.forestriverinc.ForestRiver,"Your single source of information about your RV, Cargo Trailer and Pontoon!"," Forest River RV, cargo trailer, and pontoon owner's guide.\n\nLong Description: The Forest River Owner's Guide app provides a comprehensive resource for RV, cargo trailer, and pontoon owners, including owner's manuals, component manuals, how-to videos, FAQs, and troubleshooting tips."""
com.benefittrust,Allows members of group benefits plans to submit their claims.," Snap & Submit Claims\n\nSummary: The Benefits Trust members can easily submit claims by taking a picture of their receipts and sending it directly to the claims processing department. No need for mailing, scanning or faxing."
com.Prestige_Games.SC,Space strategy.  A mix of tower hold games and role-playing action.," Space Strategy RPG\n\nSummary: Engage in a space strategy RPG with over 100 creatures, combat modules, bosses, warships, and locations. Build alliances, level up, and defeat rivals in this immersive game."
com.yum.pizzahutsg,Welcome to Pizza Hut Singapore Mobile ordering app., Order pizza & more for delivery or pickup in Singapore with the Pizza Hut app!
au.com.nymet.waterme,The WaterMe app allows you to control your irrigation system from any location," Control and monitor your irrigation system with the WaterMe app, featuring 10 zone management, real-time flow data, and weather-based scheduling."
com.perdoo.excalibur,"One app for Strategy, OKRs, KPIs, 1:1s, Performance Reviews, and more!"," Align teams, achieve goals, and manage 1:1s with Perdoo's strategy, goals, and feedback mobile app."""
com.tony.molink.tonseecamview,DEPSTECH is the endoscopic image transmission software,"\nDEPSTECH: Real-time WIFI image transmission for endoscopic industry. Camera, video, playback & WIFI settings."
my.socar.flex,"An all-new SOCAR app, Malaysia’s No.1 Car-Sharing App."," Rent 30+ car models in KL, Selangor, Penang, JB, Ipoh, Malacca, and Negeri Sembilan from RM8/hour with SOCAR app, including SOCAR-2-U delivery and SOCAR+ driver service.\n\nLong Description: The new SOCAR app offers an improved user experience for booking and driving any of their 30+ different car models in KL, Selangor, Penang, JB, Ipoh, Malacca, and Negeri Sembilan. With"
com.xoxblackapp,Manage all your XOX BLACK in style. Pay your bill in seconds and data on the go.," Manage your XOX account, shop online & earn rewards with the BLACK App Super App. Track activities, review plans & subscribe to data for family & friends.\n\nConfidence: 95%"
com.dextr.dextr,"DEXTR, the easiest taxi app in the Netherlands. Download now and feel the ease!"," Plan, order & pay for your taxi ride in advance with DEXTR - the easiest taxi service in Tilburg, Zwolle, Almere & het Gooi!"
it.candy.simplyfi,"The App for your Candy simply-Fi, Smart Fi+, Smart Fi and Smart Touch appliances"," Control Candy Wi-Fi connected appliances with the Candy simply-Fi App; explore features via demo mode, access support at support@candy-hoover.com."
no.bobilguiden.android,The best places to stay the night with motorhome in Norway!," Discover 1300+ motorhome & caravan sites in Norway!\n\nSummary: Campersite Norway offers a curated guide to 1300+ motorhome and caravan sites across Norway, complete with drone photos, detailed descriptions, and facility information. Download the app for free to access a limited selection of sites, or upgrade to the premium version for NOK 249 per year."
com.werner.drivewernerpro,Application for professional drivers of Werner Corp," Enhance Werner driver productivity with this app's useful tools."""
com.iptvchileprozero.iptvchileproiptvbox,"IPTV Chile Pro is media player allows to play LiveTV,Vod on Android Phones,TV","\nStream live TV, movies, and radio with IPTV Chile Pro, offering Xtream Codes API, M3U URL, and local file support, plus parental controls and multi-screen options."
com.kashkick.kashkick_rewards.kash_kick.kashkicks_earn_money.ibradev,Use KashKick surveys rewards app on your Android devices to earn money," Earn money online with KashKick surveys & tasks\n\nLong Description: KashKick is a free online rewards platform that pays you for taking surveys, watching videos, and completing other tasks. With a low payment threshold of $5 and available on iPhone and Android devices, it's an easy way to make money on the go."""
com.higherlowergame.geography,It’s the perfect quiz to kill time Higher Lower Game Geography," Test your geography knowledge with this quiz game!\n\nLong Description: In this geography quiz game, you'll be asked questions about country populations, areas, and coastlines. Challenge yourself with questions about all the countries in the world, and enjoy a single-player experience with immediate answers - no need to wait for others!"""
com.swprize.claw,"100% REAL claw machines, 100% REAL prizes and 100% delivery!"," Win real anime figures with the online claw machine game, Figure Out!"
gmin.app.moneylog.free,Reminders about payment dates., Stay on top of bills with Periodic Payment Reminder app.
com.nttbp.jfw,"""Search"" for and ""Connect"" to Free Wi-Fi in Japan!"," Access 170,000 free Wi-Fi hotspots in Japan with easy registration & one-tap connection. Offline map & multilingual support."
com.race2020.nssss,Racing and Driving Nissan Cars Simulation Game on Free!, Drive luxury Nissan cars in various modes with realistic physics and graphics.
com.apspayroll.essmobile,The eSELFSERVE mobile app for employee self-service.,
net.anttime.app,◈ ANTTIME ◈ The first T2E project that will make your time valuable.," Earn rewards by converting your time into assets with ANTTIME's T2E app"""
com.multibrains.taxi.passenger.greenrcabsmalta,Greenr Cabs Malta is the very first green cab company in Malta.," Travel green and stylish with Malta's first electric cab company, offering comfortable rides, WiFi, and phone charging for business or leisure trips."""
com.daerisoft.crashwall,Break every wall that stands in your way! When you're angry and stressed," Smash your stress away!\n\nSummary: Break every wall that stands in your way with Wall breaker2, an addictive game with new features like Skill Evolution System, Idle Game System, Practice Mode System, and UI Optimization."
co.savelist.android,"A single place to save, organize, discover, and shop all the products you like."," Save, organize & collaborate on products from any store with price drop notifications."
com.app.mag,We offer a complete end-to-end online and mobile payment transaction solution.," Simplify payments with our app\n\nSummary: Our app offers a complete payment transaction solution, enabling consumers and businesses to send, spend, and receive payments securely. We provide services like bill payments, mobile money wallets, international airtime, gift vouchers, and data recharges in the UMEOA Zone."
com.hanzala.recoverycontacts,Recover deleted sim contact app., Recover lost SIM contacts!\n\nSummary: Contact Recovery App is a tool that can easily recover your lost SIM contacts if you accidentally deleted them. It recovers deleted SIM contact numbers from Android phones and restores them into phone memory without requiring root access.
uk.co.trutac.truchecks985199,TruTac App is a mobile system for drivers to complete daily vehicle inspections.," TruTac App streamlines daily vehicle inspections with customizable checklists and instant reporting.\n\nLong Description: TruTac App is a mobile system designed for drivers to complete daily vehicle inspections, ensuring compliance with DVSA requirements. The app offers type-specific and configurable checklists for all vehicles and trailers, and once a check form is logged, it is automatically sent to the office to notify of any problems. Managers can configure checklists, including the order of completion and expected timeframe, and time-stamped reports are immediately available and stored electronically for easy recall during"
com.m24apps.internetblocker,Block apps from connecting to the Internet🌎," Block internet access for selected apps to save data, manage battery, and improve privacy with Internet Blocker. Free and secure."
com.melp.app,Next-level personalised employee benefits and engagement at your fingertips.," Personalized employee app for engagement, communication, and flexible benefits management."
com.gv.notes,A convenient and functional notes and tasks manager," Effortlessly manage tasks & notes, sync locally or via Google Drive!"
com.samocatapp,The most compact city transport," Compact, fun kick-scooter sharing system for urban transportation, available 24/7."
com.examsuniverse.mp3totext,Transcribe voice recordings from a video or audio file to text (Not for Songs).," Compact offline audio transcription tool supporting multiple formats & languages."""
com.quiver.c3.raisingcanesarcade,Fun for kids of all ages from Raising Cane’s!,
com.swdteam.bhbm,Winter is on its way. Help the bees store flowers to make their honey!," Save the bees, make honey in this HD remake of a classic game with 700+ new levels & global highscores!"
com.samiulapps.freeonlinedishtv2021,Make your mobile TV wherever you want and watch live TV.," Watch live TV, movies, and sports on your mobile with Online Dish TV."
com.namshi.android,"Shop the latest fashion trends from 2,000+ brands on Namshi."," Discover and shop 2,000+ brands and 200,000+ products from Namshi, the fashion app for the Middle East. Express yourself with adidas, Nike, H&M, and more."
com.blackboard.mosaic.morgan,This is the official mobile app for Morgan State University.," Stay connected to Morgan State University\nSummary: The Morgan State University mobile app provides instant access to campus directory, maps, news, events, and athletics. This is the official app for Morgan State University."
net.unity5.zatpark,Zat™mobile is a powerful mobile app designed for parking enforcement operatives.," Zat™mobile - Parking Enforcement Simplified\n\nSummary: Zat™mobile is a parking enforcement app that allows operatives to gather parking charge info, take photos, and print tickets on-site or send data back for central mailing. Requires an active Zatpark parking enforcement system account."
com.sakshi,Sakshi Telugu News Mobile App gets you in-depth coverage and follow-up stories," Stay updated on Telugu news from AP, Telangana & world\n\nSummary: The Sakshi Android Mobile App provides in-depth coverage of local, national, and international events in various categories, including politics, entertainment, movies, sports, and business. Users can watch Sakshi TV Live, become citizen journalists, and access breaking news notifications, text-to-speech articles, and voice search."
com.ajay.suguru,500 challenging Suguru puzzles from small to large with easy number entry system," Solve 500 Suguru puzzles in any order, with a single solution each. Progress automatically saved, and includes tutorial, undo/redo, and candidate displays.\n\nConfidence: 95%"
com.gamesoft.wifi.discover,Download the new and easy WiFi Password security and WiFi managing tool," Secure your WiFi with strong passwords\n\nSummary: This app helps you protect your WiFi network by generating and managing strong passwords, scanning nearby access points, testing internet speed, and checking network status. It also provides IP information and direct password copying. Please note, this app is not for hacking or cracking WiFi passwords."
com.chihuahua.babyescape,"Help little boy escape from getting caught, remember to avoid obstacles","\nNavigate a baby through an endless level house escape game, with multiple rooms, unlockable characters, and boosters!"
com.fnafsecurity.mods.maps.formcpe,Install fnaf security breach mods for minecraft and other in a just few clicks," FNAF Security Breach mods, maps, and skins for Minecraft PE!\n\nConfidence: 95%"""
com.adermark.forestpondfree,Dynamic live wallpaper with a forest pond with live sky reflecting in the waves.,"\nExperience a tranquil forest pond with live 24-hour sky & calming waves, inspired by a stunning photo."
com.pcvirt.Computer,Unleash your device's potential with this easy and feature-full file manager.,"\nFree file explorer with multiple tabs, media viewer, and network access."
com.baskinrobbins.app,"Get the (ice cream) party started. Get the scoop on sweet treats, deals & more."," Order ice cream on-the-go with the Baskin-Robbins app!\n\nLong Description: The Baskin-Robbins app lets you order ice cream, cakes, shakes, and more for pickup or delivery. Join the Baskin-Robbins Rewards program for exclusive offers and rewards."
com.poppy.punch,Become the Poppy Champion! Knock enemies out of the ring with a curved punch!, Battle as Poppy and knock out opponents to become the champion in this 3D fighting game!\n\nSummary:\nPoppy Punch is a 3D fighting game where players control Poppy characters and battle against opponents in the ring. The objective is to knock out all opponents and become the champion. The game
com.absolutepets.android,Shop the widest range of premium dog and cat food & pet products in South Africa," Shop top pet care brands\n\nSummary: The Absolute Pets App offers a wide range of premium pet care products from top brands, with easy repeat ordering, quick delivery, and in-store pickup options."
com.wecre8websites.harnois,Harnois Énergies will guide you through our different refuelling points," Discover Harnois Énergies refuelling points with business hours, services, and payment methods."
com.heb.partnernet,An app for H-E-B Partners (employees),
com.wowwee.chip,"Reward CHiP for good behaviour, track mood + health and control his every move!"," Train and play with your smart robot dog, CHiP!\n\nLong Description: Train and play with your smart, affectionate robot dog, CHiP. Your interactions shape his behavior and personality. Use the CHiP app to reward good behavior with a treat, track mood and health, control CHiP's movement, and replay favorite tricks. Customize your smartband for quick commands and enjoy a unique bond with your robot companion."""
sg.whyq.users,WhyQ: Affordable and delicious hawker food deliveries with no minimum order.," Order from 3,000+ hawker stalls with low delivery fees on WhyQ ""Shiok"". Enjoy on-demand deliveries and premium islandwide options."
com.offroad.hill.climb,Drive through mud! Climb mountains! Drive up a hill! Live the offroad!,"\nConquer offroad challenges in unique vehicles, across varied settings. Unlock new cars & levels!"
com.evocrat.prop,"Simple Property Management App that helps to manage owners, tenants & vendors."," Property360Degree is a comprehensive property management solution for residential, commercial, and affordable rental properties. Manage portfolios, attract owners, and increase customer satisfaction with a branded mobile app and online portal.\n\nLong Description: Property360Degree is a versatile property management solution designed for residential, commercial, and affordable rental properties. The app offers a branded mobile app and online portal for owners, tenants, vendors, and internal team members, making it easier to manage small to large portfolios. The cross-platform technology stack is designed to work in major countries"
