description_html_clean,description_short,similarity,similarity_bin
"YAATA is influenced by the true spirit of Android. It is a SMS/MMS app that has so much to offer. You can personalize and configure this app to your definition of the perfect app. YAATA SMS is very powerful, reliable and the speed of the app is on another level. Even with all the exciting features this app has to offer the app size is under 3.9MB. This SMS app is highly user friendly and fulfils the wants and needs of the ultimate geek to a basic beginner user.SMS/MMS· Complete Multimedia Support including but not limited to sending and receiving: Pictures, Videos, Audio, VCards, GIFs.· Delivery Reports for both sms and mms with the option to save delivery time.· Group Chats· Send Delay· Converting sms to mms· Archiving· Scheduled Message Sending (Premium)· Speakerphone mode (Premium)· Night mode (Premium)· Blacklisting (Premium)· Auto forward (Premium)· Auto responder (Premium)· Copy and Paste select text· A plethora of options when tapping message bubble.· Backup and restore settings· Tons more to explore and to be added!! Quick Options· 3 Different desktop widget styles· Pin contacts to FAB tab· Quick compose from notification shade (3 favorite contacts)· Favorite contacts will appear when composing new message.· Long press attachment icon to insert pictures quickly.· And more! If you come up with faster ways don’t hesitate share! ;)Notifications· 3 quick reply styles· Chat heads: Ability to view over lock screen! With a bunch of customizable and configurable options ( Some options for chat heads are premium)· Pop up window: Again, the ability to view over lock screen with configurable options. (i.e. message limit, pop up size, close after sent and more)· A simple Dialog window· Custom Vibrations· LED colors and ability to customize blink rate· Repeat reminds for missed messages· Changeable Swipe actions in notification shade· Ability to set notifications for non-numeric address as well as unknown senders.· Set up how you want to be notified when listening to music, in calls, when screen is on and more!!!Customization for Individual Contacts· Notifications· Ringtones, custom vibrations, quick reply styles, LED color and blink rate, status bar icon and more.· Look & Feel· Bubble Color for sent and received, contact avatar and action bar color as well as text color and size can be changed for a specific conversation.· Once again so much more for you to see for yourself!!Look & Feel· Themes!!· Light, Dark, Black, Card based and Random Palette (you have the ability to create your own color palette in advanced settings and/or reset colors)· Create your own themes with customizable contact pictures (size, shape, color…), fonts (sizes, colors bold options), message bubbles (colors, styles, animation), action bar color and the ability to change background colors and conversation list colors are just some ways to personalize YAATA.· Others…· Grouping threads by dates on conversation list (Today, Yesterday, Two Days ago…)· Timestamp options· Filter Option (search conversation by mms, send, received, dates, text and other ways.· Alternating backgrounds to show different days· Ability to enable or disable swipe actions in conversation list ( swipe to call, mute, archive, delete, reply create chat head)· Ability to enable or disable the options to hide keyboard when scrolling, hide editor when scrolling, close keyboard after send, etc.App Icon made by Corbin CrutchleyApp description written by Jocelyn Prescott","YAATA is powerful SMS/MMS app. It's fast, easy to use and fully configurable.",0.85268843,0.85-0.9
"Geekplay™ ARcher is the companion app for Geekplay’s ARcher product series, which is a bow-shaped gaming toy developed based on Augmented Reality technology. Connected the bow with the app via Bluetooth, users will be able to use their bow to access multiple games including Dragon Defense, Hunter’s Missions, etc.Featured in Augmented Reality and motion detection, players will enjoy an immersive gaming experience with Geekplay™ ARcher.",Geekplay™ ARcher is a bow-shaped gaming toy developed based on AR technology.,0.90003943,0.9+
"Official App For Houghton College.Use this app to get involved, stay organized, access resources, and communicate with others on our campus.",Official App For Houghton College.,0.93106455,0.9+
Bueno Y Sano is committed to providing the best food and drink experience in your own home. Order online here at Bueno Y Sano or order from our app.,Bueno Y Sano is committed to providing the best food and drink experience .,0.88220984,0.85-0.9
"MePeWo (Ashanti word for ""I like you"") is a dating app for Ghanaians in Ghana and abroad.Find your special one on MePeWo! The app is very intuitive and easy to use.The MePeWo app features include: free chat, video calls, voice calls, live streaming, encounters and more. Upgrade to one of our Premium Plans for even cooler features!Discover amazing Ghanaians today on MePeWo!",Find love in Ghana and beyond. MePeWo is a dating app for Ghanaian singles.,0.8710662,0.85-0.9
"Download for free the new application  Radio Bollerwagen App FFN  Available for Android devices. Stay connected to the best music  and all the hits of your favorite musical genres, now you will always have the latest news, the results of the football matches and the am and fm em live radio broadcasts! Radio Bollerwagen App FFN is the live radio application where you will find the best music.The new application  Radio Bollerwagen App FFN  has an excellent user-friendly interface.[] - Listen to the  Radio Bollerwagen FFN [] - Search radio stations[] - digital sound with low consumption[] - Easy to use and totally free[] - Top radios, the best stations[⏲] - Departure time[] - Sports result information, news, music, comedy[] - Save your favorite stations[] - Equalizer to better listen to your favorite radio stations  Radio Bollerwagen App .Your new  Radio Bollerwagen App FFN  application has a modern, elegant and easy-to-use interface that gives you the best experience when listening to free live radio. There are more than 500 free radio stations.Enjoy Browsing quickly through hundreds of available DAB Germany Radio stations, search by region for the station you want to listen to. You can search by the name of the station or by the region of the desired radio. You can put your favorite radios so you don't have to search again.Live radio broadcast with the new application of  Radio Bollerwagen App , absolutely FREE! Download it today and listen to the best stations in the world, wherever you are.ADVANTAGES: In this application you will have access to the best live radio tuning of  Radio Bollerwagen FFN  online in which it will make you spend an unforgettable time with the best music that you like. The best live radio tuning is in the new application of  Radio Bollerwagen Frecuencia Gratis  is for you to go and have a very relaxed moment of relaxation in the best tuning.This app will give you the opportunity to have sports, cultural, social and entertainment programming in general, and of course good music of all genres.OUR USERS OF THE APPLICATION OF  RADIO BOLLERWAGEN APP FFN .It is a radio application trusted by 8 million listeners worldwide, we promise our users the best quality of reproduction, and improvements of the application of  Radio Bollerwagen App FFN  to make each day.More than 500 free FM radio stations and German AM radio stations including:Radio Bollerwagen App FFNN JoyYou FMBOB RADIO!HIT 104 FM 104.0 BerlinAntenne Bayern Top 40SWR1 radioi Love RadioAntenne BayernSWR3 radioBig FM StuttgartMDR JumpWDR2 radioHit Radio FFH DeutschlandFFN radioHR3 radioHamburg radioHR1 radioHR4 radioDie Neue 107.7Radio Eins rbb 95.8 FMTop 40 radioSAW Magdeburg RadioNDR 2 HamburgRadio VestDeutschlandfunk 97.7 FMBerliner Rundfunk 91.4Radio Russkij Berlin 97.2Energy Berlin 103.4JAM FM 2000erJazz Radio 106.8Pi Radio 88 Fri 88.4Reboot FM 88.4Radio FH 94.7Radio Multicult 84.7Radio Paradiso 98.2Teddy radioKlassik Radio 101.3BB Radio 107.5RBB Radio InfoRBB KulturradioRBB Radio Berlin 88.8105´5 SpreeradioStar FM 87.9Rocky FMAtención Attention: Radio Bollerwagen App FFN is not an application of ""radio without internet / free FM radio without internet / FM radio without internet / FM radio without Internet connection / Radio Bollerwagen App FFN without internet / free radio and FM without Internet radio / FM radio without internet / free radio without Internet. "" This application needs an internet connection, 3G / 4G networks or Wi-Fi. Permissions Needed: Allowing access to files on your device will help us save the list of your favorite radios.",Download and enjoy the app Radio Bollerwagen App FFN - DAB Radio Germany,0.8846477,0.85-0.9
"Employee can Login / Logout based On Current Location , Manage leave and Fill their Work log.Employee can also Fill Daily Work log, Apply / Approve Leave and work log.",Employee can Login / Logout based On Current Location.,0.8576827,0.85-0.9
"Submit pet insurance claims quickly right from the ASPCA Pet Health Insurance app! Remember the quicker you get your claims in, the sooner we can start processing them. Our customers can also see their benefits, find a vet, and much more with this easy to [more…] use app. With this app, you can:* Submit claims even before you leave the vet—just open the app, enter a little info, and take a picture of the invoice* Track the status of claims * Review your benefit information* Pay bills and see your billing history* Update contact info* Find a vet clinic nearby—save it to your favorites to add to claims easily* Sign up for direct deposit* Find answers to FAQs* Contact us for assistanceOur pet insurance app is designed to help you get the most value from your plan—and make it as simple and convenient as possible.Not a customer? Use the app to get a free pet insurance quote for your pet or visit www.aspcapethealthinsurance.com",Submit pet insurance claims quickly with the ASPCA Pet Health Insurance app!,0.8980246,0.85-0.9
"At hago, you can discover new friends while enjoying games, video chat and stream. We proudly built this platform, so people can come together and hang out anytime, anywhere.[200+ games for you to play]Ranging from 1-on-1 competitions, to group-chat games, and to group-video games, there are over 100+ games you can play on Hago.[Thousands of free chat rooms]You can choose your favorite chat room from thousands of rooms and chat with people from all over the world on topics that interest you.[Group chat]Explore the public chat rooms from chill peeps or grab your squad for a private, invite-only online hangout.[Exciting stream rooms with different topics]Come to Hago's stream rooms whenever you get bored. Tens of thousands of talented hosts are waiting for you. There are plenty of categories to choose from, like singing, dancing, cooking and more.Join Hago to make new friends at ease.Join Hago and interact with old friends.Check out our sites and stay in touch with usWebsite: www.hago.sg",Join Hago to have a good party online，enjoy chat rooms，games and live streams.,0.8669537,0.85-0.9
Word Search Unlimited is 100% free and contains unlimited word search games.Word Search Unlimited is a traditional word puzzle game. Find the mystery answer hidden in the puzzle.,Word Search Unlimited is 100% free and contains unlimited word search games.,0.9085467,0.9+
Class- 1 - Maths provides practice test papers and mock tests for Class 1 Students.,Class- 1 - Maths provides practice test papers and mock tests,0.96179175,0.9+
"Coach Bus Games 2023 are new 3d bus simulation games, there are multiples level in our latest offroad bus driving game 2023. Routinely altering Euro Bus Simulator are brought to you by Real Gaming Club. In order to make coach bus games 3D and city bus driving games more exciting, thrill is added to the bus simulator games. As a US bus driver, you probably enjoy playing coach bus games on the bus simulator 3D and are eager to find actual bus games where a city passenger simulator takes the place of a highway bus parker 3d games.If you're earlier to play a modern coach bus game or bus simulator 3d, then this Euro Bus Simulator 2, city bus driving game is the finest choice. City bus simulator 2023 is the most enjoyable and addicting mud truck games for driving in the mountain paths. In the coach bus simulator game, you may be playing with multiple city coach buses and feeling like a bus simulator game in completely realistic situations. It looks like an original bus parker 3d simulator which has a realistic environment and smooth controls that will make it a source of your refreshment in the bus games. In this city bus driving, and coach bus is available for public transport, which is free to play in the coach bus simulator game. Many passengers will be waiting for you at racing bus stops in bus parker 3d: new bus games.This City Bus Simulator game is for you if you want to become the best US driver in new bus games offline. By playing a Euro Bus Simulator bus driving game, you also have the possibility to get better at parking and driving in coach bus games. Bus Games - City Bus Simulator 2022, Free Games gives you the ability to become a real racing bus driver in this thrilling, and addictive games about tourist transportation. Realistic locations, amazing vehicles, and world's best graphics in the city and highway bus simulator will give you the impression that you are driving a Euro Bus Simulator 2.Bus Games - City Bus Simulator 2023, Free Mud Truck Games gives you the ability to become a real bus driver in this intriguing, thrilling, and addictive game about tourist transportation. Realistic locations, amazing vehicles, and leading graphics in the Coach Bus Games 2023: Bus 3d will give you the impression that you are driving a real bus. Prepare to drive racing bus for a public transportation system. Several people will be waiting for you at bus stops, and you will need to take them to their destinations.City Bus Driving in offroad stunts, curvy tracks is not easy, improve coach bus game driving skills of bus simulator 2022 new 3d games. To complete challenging missions as a real bus driver, the luxury game bus driver must drive an offroad bus driving simulator as well as a coach bus simulator. He must also pick up and drop off Euro Bus Simulator passengers to earn points for the city bus driving games and upgrade his bus parker 3d for better driving and the real racing bus simulation.HOW TO PLAY :  Be using the Start/Stop button to start your Coach Bus Games. Move the shift key to the ""D"" position on the right side of your screen. Use the break and accelerate buttons to steer your coach bus.Features of Coach Bus Games 2023: 3d Bus Simulator: City Bus Driving Bus Simulator has smooth controls Realistic bus engine sounds in coach bus driving Vivid environment and incredible HD graphics Intelligent Traffic System in racing bus simulation Free To Play Coach Bus Games 2023: Bus 3d Amazing multilevel of bus simulator 3d","Play Coach Bus Games 2023 with advance features of Bus 3d, bus simulator 2022",0.85238636,0.85-0.9
"The KakaFit  bracelet is a smart device that can detect and evaluate people's movement, sleep quality, can help people to better understand and adjust their daily life and work. Bracelet features: support for exercise, sleep statistics. Sync SMS and Calls to the Smart watch, Device name: KakaFit, model: MP1511",The KakaFit bracelet is a device that can detect people's movement.,0.8719754,0.85-0.9
"This App is for members of the Lubbock Sunset Church of Christ who wish to Connect2 Sunset ministry, watch sermons, get news updates, and form strong body life relationships.",An App for Lubbock Sunset Church of Christ members.,0.8930052,0.85-0.9
"Pushfor is a highly secure, content sharing and instant messaging appPushfor’s patented (US Patent No. 9660821) ‘push’ technology gives you total control when sharing and distributing content such as documents, presentations, photos, videos, images, music etc.  Pushfor is the perfect choice for sharing sensitive, confidential and high value content and for private chat conversations.  Content is ‘pushed’ not sent and can be pulled back at any time.Key features include:•    Original file never leaves source location so is highly secure•    Supports over 50 content types with no restrictions on file sizes•    No need for authoring software on recipient device•    High definition quality when viewing content•    Upload content from your device or any external cloud storage•    Share URL links and geo-location•    Push to individuals or groups – one push and content can be shared with many•    Tracking of every interaction so you know exactly who has viewed the content, where from, with what device and for how long•    Numerous viewing and privacy permissions •    Protection against screenshots•    Protection against Malware•    Watermarks can be applied•    Real-time engagement – messaging, text, voiceBe smart in how you share your content– Download now.At Pushfor we always like to hear about your feedback or suggestions on improvements. Get in touch at hello@pushfor.com","Pushfor is a highly secure, content sharing and instant messaging app",0.8716034,0.85-0.9
"Now available ""Mix Megapol Göteborg App Radio Radioplay SE Free Online"" for mobile devices smartphones and tablets. Easy to use and fast access.The best music station ""Mix Megapol Göteborg App Radio Radioplay SE Free Online"", of all the radio stations is characterized by its news, sports and news all this 24/7 in line to enjoy when you want and with whoever you want.If you have doubts and suggestions regarding contact us through the email apps@exlivinapps.com.",To download Mix Megapol Göteborg App Radio Radioplay SE Free Online.,0.90131545,0.9+
This app simulates a laser saber in your phone! Laser saber is based on the power of the light. Now this strong weapon is in your arms! Five different sabers and seven colors in your phone!,This app simulates a laser saber in your phone!,0.8999888,0.85-0.9
"The Life Essentials Study Bible contains 1,500 principles to live by connected to teaching videos from Gene Getz. This app allows you to scan the QR codes in the Study Bible or select the individual principles for instant access to the 1,500 teaching videos. By using this app, you will be able to save your favorite videos and keep track of which videos you have watched.The teaching videos from Gene Getz elaborate on 1,500 principles in Scripture that are as relevant today as when the sixty- six books of the Bible were written. Distilling these truths into principles, Getz helps you more easily remember and effectively apply the Bible's wisdom to everyday life. He explains how each of these principles represents a supracultural truth - one that can and should be applied at any moment in history and in every cultural situation.",Videos to accompany The Life Essentials Study Bible by Gene Getz.,0.8585171,0.85-0.9
"JKSS Keypad is a Belepoor/Fur language keypad that will help speakers of this language type in their language. The keypad has all the twenty-six Belepoor letters. The keypad also has eight vowels. Each vowel has eight variations. Keypad also has 5 English letters that are bot found in Belepoor. So the total number of Fur language letters, including their variations and 5 E nglish letters, is eighty seven letters. The keypad has eighty-seven uppercase letters and eighty-seven lowercase letters.JKSS also has all special characters that are found in Android default keyboard.",JKSS Keypad is Fur language/Belepoor keypad.,0.8675406,0.85-0.9
"Classoos is a digital textbook service and learning resources platform, allowing teachers & students to enhance textbooks and distribute learning materials. Classoos has distribution arrangements with a growing list of international textbook publishers such as Pearson, Hodder, Cambridge and many others to feature their content on the service. At the moment classoos is only available to schools so go to www.classoos.com and get a trial account today.",Classoos is a digital textbook service and learning resources platform.,0.92659485,0.9+
"The OhMiBod Remote App is a revolutionary way to connect with your partner, either locally or from virtually anywhere in the world. Connect your OhMiBod products to your smartphone or tablet and use the app to create custom patterns or even use music to create a completely new experience.",The OhMiBod Remote App is a revolutionary way to connect with your partner.,0.9076674,0.9+
"TSSL LTD is a simple and practical app. You only need to select the content you like and you can operate it directly in the panel. It is convenient and fast, and even novices can operate smoothly.You can gain more through TSSL LTD. We have carefully selected the content you like.Update the latest content regularly.We will continue to optimize the application and improve the user experience.Download TSSL LTD now to make your life more convenient and easy","TSSL LTD is a simple and practical app, welcome to download and use!",0.888492,0.85-0.9
Adilqadri is a Popular Perfume Brand In IndiaWith a Huge Range Of Fragrances,Adilqadri Is Famous For Its Premium Perfumes,0.8912798,0.85-0.9
"This is an app which we can control a quadcopter to fly with a WiFi camera module , it’s also display a realtime video taken by the wifi camera module, which include below feature.     1, support VGA, 720P and 1080P resolution.    2, support take photo and record video function.    3, support 3D function.",an app we can control a quadcopter to fly with a wifi camera module,0.87034166,0.85-0.9
"Game Pay is an eSports gaming company for Competitive Gaming Tournaments played across platforms such as PC, Console & Mobile.. Game Pay Offers Rewards and Unlimited Entertainment for Participating and Playing Free Games Online. Users can participate in the upcoming eSports games and Win Amazing Prizes and Rewards. Online eSports Portal was launched in Feb 2019 with an idea of bringing the tournaments experience online & with a vision to reach out to every gamer in India. With a passion and a commitment to the best gaming experience, we have strived to create a community for gamers.",Game Pay is an eSports gaming company for online gaming events,0.8987292,0.85-0.9
"Welcome to the online home of Mason Temple Church of God In Christ. Mason Temple is a place where all people can encounter God, faith and community in an authentic, relevant and uplifting environment. We intentionally work to create an atmosphere where people can discover God's plan for their lives. This app provides access to life-changing sermons, insightful content and relevant information about our church.",Welcome to the online home of Mason Temple Church of God In Christ.,0.85286593,0.85-0.9
"Amazing collection of  German Cars Wallpapers  to set as wallpaper on your phone in good quality.AVAILABLE CATEGORIES: Audi, Bmw, Mercedes-Benz, Opel, Porsche Smart, Volkswagen, WiesmannAPP FEATURES:: Lots of variety of images available. The App Requires Internet connection and / or WiFi. Option to share images on Social Networks. Option to download the image to your device.",Amazing German Car Wallpapers for your phone,0.8572042,0.85-0.9
"Tricky Track - Throw Ball 3D is an endless shooter game. Do Tricky Track and shoot all !Aiming is the most important skill in shooting game. Tricky Track is one of the most addictive 3D shooting game of the year ! While your character is running, you are expected to aim perfectly in Tricky Track Game in 3D !Tricky Track can be played anytime, anywhere and even offline. Tricky Track is for everyone who loves shoot'em all type 3D games ! Try Tricky Track and play with your friends ! Show them who is the best shooter !Please let us know your feedback so we can do better updates for Tricky Track Game ! Good Luck !",Tricky Track 3D is an endless shooter game. Do Tricky Track and shoot'em all !,0.8698901,0.85-0.9
"Watch live streaming of Romanian TV channelsThis application allows you to watch TV channels from Romania and Moldova live streaming for free.Watch Romanian-language television channels of different categories; generalist, news, sports, movies, themes, music, children, religious, documentary, etc.With this app you can watch:TVR 1TVR 2TVR 3Pro TVAntena 1Antena 3Antena StarsHappy ChannelPrima TVKanal D RomaniaB1Digi24Digi SportNațional TVRealitateaZU TVUtvMoldova 1Moldova 2Prime TVCanal 2TV8Jurnal TVPublika TVN4Canal 3Pro TV Chișinău",Watch live streaming of Romanian TV channels,0.9095174,0.9+
"Royal Chips 2248 is a addictive chips puzzle and 2248 merge number game.It's simple logic game to train your mind and make it sharp.It will be the most beautiful, learn-able, and user-friendly merge number puzzle game you’ve ever played.Easy to play, and pleasurable puzzle game.If you play smart and think ahead, you can win the highest score.How To Play :1. Connect three game chips(or more) with the same number next to each other to merge them, horizontally, vertically, or both.2. Merge game Chips to get higher number chips.3. Try to merge 2 and 2 and 4 to 8, use different 2248 merge wayMerge numbers, link the number chips, make higher score to 2248 even higher.",Royal Chips 2248 is a addictive chips puzzle and 2248 merge number game.,0.88534486,0.85-0.9
"Open source music streaming app that provide a privacy-friendly and ad free music experienceOffers music discovery, real-time synced lyrics, no telemetry, not even diagnostics data collection and huge collection of music tracks","Open Source, privacy-friendly music streaming app",0.8738715,0.85-0.9
Welcome to the KITE Digital Educational Solutions learning platform! This platform offers holistic end-to-end solutions for your e-learning needs. It covers various tools and the latest innovations in education for Philippine academic institutions.,Welcome to the KITE Digital Educational Solutions learning platform!,0.9212886,0.9+
"India's First free exclusive mobile news TV app , Hindi News App, Breaking news, Bulletins , special stories, infotainment based programs.Satyamev News is India's First Free Mobile News TV to provide you 24x7 latest update round the clock and  dedicated to :- 1. Make common people aware with every important happenings around them 2. Raise the voice for basic fundamental rights and facilities for Indian citizens,. 3. Maintain  the standard of real journalism . 4. Improve the moral values of  life to make nation batter.Satyamev news is delivering breaking news , political news, business news, news bulletins, infotainment programs based on reliable sources and information of current affairs,  Satyamev news is focused to give importance to our each viewer and involve them to send their local news by providing a strong platform.",Satyamev News is India's First free exclusive Hindi Mobile news TV app.,0.8961407,0.85-0.9
"Connect to your child's Kurio Connect Tablet through the Kurio Connect App that can be downloaded on to your phone. Once paired, you can reach your child anyplace, anytime and send messages, call direct, play games, adjust the volume level of the tablet and remotely switch it off! The Kurio Connect App has been developed for use only with Kurio Connect Tablets.","Use the Kurio Connect App to reach your child's Kurio Tablet anyplace, anytime",0.91622245,0.9+
"First Southeast Bank Mobile Banking is a solution that enables bank customers to use their *Android to initiate routine transactions and conduct research anytime, from anywhere. Check your account balance and transfer funds.This app is for First Southeast Bank customers.  First Southeast Bank does not charge a fee for Mobile Banking.  Connectivity and usage rates may apply. Contact your wireless service provider for more details.*Android is a Trademark of Google Inc.",Use First Southeast Bank's Mobile Banking to check your accounts via your phone,0.8535814,0.85-0.9
"Welcome to iNote, the ultimate note-taking companion designed to revolutionize the way you capture, organize, and express your thoughts. Experience the power and elegance of a note app that combines the familiar simplicity of the iPhone's native Notes app with innovative features that will take your note-taking to new heights.iNote offers a seamless and intuitive user interface that instantly feels like home. With its sleek design and familiar layout, you'll effortlessly dive into a world of unlimited creativity and productivity.Our app is designed with your privacy and security in mind. Rest assured that your notes are safely protected, giving you peace of mind to focus on what matters most - your ideas and inspirations.Unlock your full potential with iNote app. Say goodbye to traditional note-taking and embrace a new level of productivity, creativity, and organization. Download iNote now and start capturing your ideas in a truly innovative way.iNote - Redefining the art of note-taking.","iNote, the ultimate note-taking app inspired by the beloved note app on iPhone.",0.8794513,0.85-0.9
"Banner King app helps you to create HD Marathi Birthday Banner Flex and Hoarding. Just Select from available background or upload, add pictures and Stickers and thats it. Your Birthday banner is ready within few clicks!You can also edit images, apply filters , crop images to make more attractive banners. Its complete set of photo editor toolset from which you can customise banners.Banner King app is designed to work with Marathi as well as English language. The app design is so awesome you will fall in love with app once users use it. Stickers will add more beauty to your Banner.To make your friends Birthday more memorable, Create  Banners as many as you want, share it across with your friends.So Unleash your creativity with Banner King - Marathi Birthday maker app. This App give you everything you need to create flex banner and Hoardings.",Banner King - Make HD Marathi Birthday Banner easily with Banner editing tools.,0.87576354,0.85-0.9
Access and interact with Tautulli on the go with the official app from the Tautulli team.,The official Tautulli mobile app.,0.85822785,0.85-0.9
